Artist_name,Song_name,explicit,Song_duration,links
Like Moths To Flames,Gnashing Teeth,True,03:25,https://www.youtube.com/watch?v=aHZdMaQjNdI
Fit For An Autopsy,A Higher Level of Hate,True,04:07,https://www.youtube.com/watch?v=v6JYva7xOC4
Bleed From Within,Into Nothing,False,04:42,https://www.youtube.com/watch?v=n3CSbg-1OUg
Darko US,Dragon Chaser,False,03:59,https://www.youtube.com/watch?v=_3seI3lwCIE
The Devil Wears Prada,Watchtower,False,02:48,https://www.youtube.com/watch?v=H7an9FrMouo
InVisions,The 6 6 9,True,04:32,https://www.youtube.com/watch?v=xl2et-ZS5RA
Caliban,Dystopia (feat. Christoph Wieczorek of Annisokay),True,04:23,https://www.youtube.com/watch?v=1tpZ-5pwpQw
Miss May I,Unconquered,False,03:35,https://www.youtube.com/watch?v=qdZwbGtlgXY
LANDMVRKS,Self-Made Black Hole,True,04:14,https://www.youtube.com/watch?v=Vlq9uuFYBT0
We Came As Romans,Darkbloom,False,03:44,https://www.youtube.com/watch?v=ogZzp4pG4tE
ERRA,Stockholm Syndrome,False,05:21,https://www.youtube.com/watch?v=ctPGxAfevgA
Upon A Burning Body,A New Responsibility,False,03:06,https://www.youtube.com/watch?v=jph_d7ICo4s
Bleed From Within,Levitate,True,04:30,https://www.youtube.com/watch?v=BGKS3mW2XPM
InVisions,Annihilist,True,04:10,https://www.youtube.com/watch?v=0LJAvXB_4YM
LANDMVRKS,Suffocate,False,03:18,https://www.youtube.com/watch?v=dO0xx_BmyTA
Memphis May Fire,Left For Dead,False,03:05,https://www.youtube.com/watch?v=1YPBNAP-3DY
NOVELISTS,Smoke Signals,False,03:34,https://www.youtube.com/watch?v=1BxN2bbO4Vc
Bad Omens,ARTIFICIAL SUICIDE,True,03:15,https://www.youtube.com/watch?v=IBcUkTXAwbw&pp=ygUeQmFkIE9tZW5zIC0gQVJUSUZJQ0lBTCBTVUlDSURF
Stray From The Path,Guillotine,True,03:37,https://www.youtube.com/watch?v=iyVn13AXqXk
